RecID,SiteID,StoreCode,Region,Quantity,GTIN_VPN,Brand,Style,Diameter,Width,BoltPattern1,BoltPattern2,Lugs,LugRadial,Offset,Finish,DTArticle,diamBP,diamBPOffs,wheelsize,offbin
1,1001,WDAZ01,DIRECT,4,7.61138E+11,American Racing,OUTLAW II MACHINED W/CC,14,7,4x114.30,NA,4,114.3,0,MACHINED W/ CLEAR COAT,78201,14 4x114.30,14 4x114.30 0,14 x 7,"(-9,0)"
2,1001,WDAZ01,DIRECT,2,7.61138E+11,American Racing,OUTLAW II MACHINED W/CC,15,7,5x114.30,NA,5,114.3,-6,MACHINED W/ CLEAR COAT,78203,15 5x114.30,15 5x114.30 -6,15 x 7,"(-9,0)"
3,1001,WDAZ01,DIRECT,4,7.61139E+11,American Racing,AR105 ANTHR MACH-LP,17,8,5x120.65,NA,5,120.65,0,ANTHRACITE W/ MACHINED LIP,78897,17 5x120.65,17 5x120.65 0,17 x 8,"(-9,0)"
4,1001,WDAZ01,DIRECT,6,7.61138E+11,American Racing,BAJA POLISHED,15,7,5x120.65,NA,5,120.65,-6,POLISHED,78729,15 5x120.65,15 5x120.65 -6,15 x 7,"(-9,0)"
5,1001,WDAZ01,DIRECT,4,7.61138E+11,American Racing,BAJA POLISHED,15,7,6x139.70,NA,6,139.7,-6,POLISHED,78617,15 6x139.70,15 6x139.70 -6,15 x 7,"(-9,0)"
6,1001,WDAZ01,DIRECT,2,7.61138E+11,American Racing,BAJA POLISHED,15,7,5x139.70,NA,5,139.7,-6,POLISHED,78618,15 5x139.70,15 5x139.70 -6,15 x 7,"(-9,0)"
7,1001,WDAZ01,DIRECT,4,7.61138E+11,American Racing,BAJA POLISHED,15,8,5x120.65,NA,5,120.65,-19,POLISHED,78737,15 5x120.65,15 5x120.65 -19,15 x 8,"(-19,-10)"
8,1001,WDAZ01,DIRECT,4,7.61138E+11,American Racing,BAJA POLISHED,15,8,5x114.30,NA,5,114.3,-19,POLISHED,78192,15 5x114.30,15 5x114.30 -19,15 x 8,"(-19,-10)"
9,1001,WDAZ01,DIRECT,4,7.61138E+11,American Racing,BAJA POLISHED,15,8,6x139.70,NA,6,139.7,-19,POLISHED,78183,15 6x139.70,15 6x139.70 -19,15 x 8,"(-19,-10)"
10,1001,WDAZ01,DIRECT,8,7.61138E+11,American Racing,BAJA POLISHED,15,8,5x139.70,NA,5,139.7,-19,POLISHED,78184,15 5x139.70,15 5x139.70 -19,15 x 8,"(-19,-10)"
11,1001,WDAZ01,DIRECT,4,8.85463E+11,American Racing,MAINLINE CHROME,17,8,6x135.00,NA,6,135,25,CHROME,NA,17 6x135.00,17 6x135.00 25,17 x 8,"(20,29)"
12,1001,WDAZ01,DIRECT,5,8.85463E+11,American Racing,AR923 S-BLK,17,8,5x127.00,NA,5,127,0,SATIN BLACK,NA,17 5x127.00,17 5x127.00 0,17 x 8,"(-9,0)"
13,1001,WDAZ01,DIRECT,5,8.85463E+11,ATX,AX194 M-GRY BLK-RING,17,8.5,5x127.00,NA,5,127,10,MATTE GRAY W/ BLACK RING,20008,17 5x127.00,17 5x127.00 10,17 x 8.5,"(1,10)"
14,1001,WDAZ01,DIRECT,4,8.85463E+11,ATX,AX195 T-BLK,18,9,8x165.10,NA,8,165.1,-12,TEXTURED BLACK,NA,18 8x165.10,18 8x165.10 -12,18 x 9,"(-19,-10)"
15,1001,WDAZ01,DIRECT,4,8.85463E+11,Helo,HE891,22,9,blank,NA,0,0,35,BLK,NA,22 blank,22 blank 35,22 x 9,"(30,39)"
16,1001,WDAZ01,DIRECT,5,8.85463E+11,KMC,KM695 S-BLK TINTED,20,8.5,blank,NA,0,0,35,BLK,NA,20 blank,20 blank 35,20 x 8.5,"(30,39)"
17,1001,WDAZ01,DIRECT,4,8.43962E+11,Motegi,MR107 G-BLK MACH,17,7.5,5x114.30,NA,5,114.3,45,GLOSS BLACK MACHINED,20170,17 5x114.30,17 5x114.30 45,17 x 7.5,"(40,49)"
18,1001,WDAZ01,DIRECT,4,8.43962E+11,Moto Metal,MO951 CHROME,20,9,6x135.00,NA,6,135,18,CHROME,20085,20 6x135.00,20 6x135.00 18,20 x 9,"(11,19)"
19,1001,WDAZ01,DIRECT,4,8.43962E+11,Moto Metal,MO951 CHROME,20,9,6x139.70,NA,6,139.7,18,CHROME,20087,20 6x139.70,20 6x139.70 18,20 x 9,"(11,19)"
20,1001,WDAZ01,DIRECT,1,8.43962E+11,Moto Metal,MO951 GLOSS BLACK MACHINED,20,9,6x139.70,NA,6,139.7,18,GLOSS BLACK MACHINED,20088,20 6x139.70,20 6x139.70 18,20 x 9,"(11,19)"
21,1001,WDAZ01,DIRECT,7,8.43962E+11,Moto Metal,MO955 CHROME,17,9,5x127.00,NA,5,127,-12,CHROME,NA,17 5x127.00,17 5x127.00 -12,17 x 9,"(-19,-10)"
22,1001,WDAZ01,DIRECT,6,8.85463E+11,Moto Metal,MO970 G-BLK MACH,17,8,6x120.00,6x139.70,6,120,0,GLOSS BLACK W/ MACHINED FACE,NA,17 6x120.00,17 6x120.00 0,17 x 8,"(-9,0)"
23,1001,WDAZ01,DIRECT,4,8.85463E+11,Moto Metal,MO970 G-BLK MACH,18,9,5x139.70,5x150.00,5,139.7,18,GLOSS BLACK W/ MACHINED FACE,20164,18 5x139.70,18 5x139.70 18,18 x 9,"(11,19)"
24,1001,WDAZ01,DIRECT,4,8.85463E+11,Moto Metal,MO970 G-GRY BLK LP,17,8,8x165.10,NA,8,165.1,0,GLOSS GREY CENTER W/ GLOSS BLACK LIP,NA,17 8x165.10,17 8x165.10 0,17 x 8,"(-9,0)"
25,1001,WDAZ01,DIRECT,1,8.06455E+11,MSA Wheels,F2 FORGED FLAT BLACK,14,7,4x137.00,NA,4,137,0,SATIN BLACK,46803,14 4x137.00,14 4x137.00 0,14 x 7,"(-9,0)"
26,1001,WDAZ01,DIRECT,2,8.06455E+11,MSA Wheels,F2 FORGED FLAT BLACK,14,7,4x156.00,NA,4,156,0,SATIN BLACK,46804,14 4x156.00,14 4x156.00 0,14 x 7,"(-9,0)"
27,1001,WDAZ01,DIRECT,44,8.06455E+11,MSA Wheels,MA012 G-BLK,15,7,4x156.00,NA,4,156,10,GLOSS BLACK,46827,15 4x156.00,15 4x156.00 10,15 x 7,"(1,10)"
28,1001,WDAZ01,DIRECT,14,8.06455E+11,MSA Wheels,M12 DIESEL MACHINED GLOSS BLACK,14,7,4x156.00,NA,4,156,10,GLOSS BLACK,46824,14 4x156.00,14 4x156.00 10,14 x 7,"(1,10)"
29,1001,WDAZ01,DIRECT,4,8.06455E+11,MSA Wheels,MA020 S-BLK,14,7,4x115.00,NA,4,115,0,MATTE BLACK,46829,14 4x115.00,14 4x115.00 0,14 x 7,"(-9,0)"
30,1001,WDAZ01,DIRECT,8,8.06455E+11,MSA Wheels,MA020 S-BLK,14,7,4x137.00,NA,4,137,0,MATTE BLACK,46830,14 4x137.00,14 4x137.00 0,14 x 7,"(-9,0)"
31,1001,WDAZ01,DIRECT,2,8.06455E+11,MSA Wheels,MA020 S-BLK,14,7,4x156.00,NA,4,156,0,MATTE BLACK,46831,14 4x156.00,14 4x156.00 0,14 x 7,"(-9,0)"
32,1001,WDAZ01,DIRECT,1,8.06455E+11,MSA Wheels,MA023 FL-BLK,12,7,4x110.00,NA,4,110,15,MATTE BLACK,46847,12 4x110.00,12 4x110.00 15,12 x 7,"(11,19)"
33,1001,WDAZ01,DIRECT,4,8.06455E+11,MSA Wheels,MA023 FL-BLK,18,7,4x156.00,NA,4,156,10,MATTE BLACK,46860,18 4x156.00,18 4x156.00 10,18 x 7,"(1,10)"
34,1001,WDAZ01,DIRECT,5,8.06455E+11,MSA Wheels,MA026 DARK TINT,14,7,4x156.00,NA,4,156,0,DARK TINT,46863,14 4x156.00,14 4x156.00 0,14 x 7,"(-9,0)"
35,1001,WDAZ01,DIRECT,1,8.06455E+11,MSA Wheels,MA027 MACH G-BLK,12,7,4x110.00,NA,4,110,10,MACHINED GLOSS BLACK,46872,12 4x110.00,12 4x110.00 10,12 x 7,"(1,10)"
36,1001,WDAZ01,DIRECT,4,8.06455E+11,MSA Wheels,MA028 GRPHT,15,7,4x137.00,NA,4,137,0,GRAPHITE,46894,15 4x137.00,15 4x137.00 0,15 x 7,"(-9,0)"
37,1001,WDAZ01,DIRECT,8,8.06455E+11,MSA Wheels,MA028 GRPHT,15,7,4x156.00,NA,4,156,0,GRAPHITE,46895,15 4x156.00,15 4x156.00 0,15 x 7,"(-9,0)"
38,1001,WDAZ01,DIRECT,4,8.06455E+11,MSA Wheels,MA028 GRPHT MACH,15,7,4x110.00,NA,4,110,0,MACHINED GRAPHITE,46896,15 4x110.00,15 4x110.00 0,15 x 7,"(-9,0)"
39,1001,WDAZ01,DIRECT,2,8.06455E+11,MSA Wheels,MA028 GRPHT MACH,15,7,4x156.00,NA,4,156,0,MACHINED GRAPHITE,46898,15 4x156.00,15 4x156.00 0,15 x 7,"(-9,0)"
40,1001,WDAZ01,DIRECT,4,8.06455E+11,MSA Wheels,MA032 M-GRY,15,7,4x156.00,NA,4,156,0,MATTE GRAY,NA,15 4x156.00,15 4x156.00 0,15 x 7,"(-9,0)"
41,1001,WDAZ01,DIRECT,4,7.61139E+11,Vintage,VN069 POLISHED,17,8,5x120.65,NA,5,120.65,0,POLISHED,NA,17 5x120.65,17 5x120.65 0,17 x 8,"(-9,0)"
42,1001,WDAZ01,DIRECT,4,7.61138E+11,Vintage,VN105 GRAY MACH-LP,15,6,5x120.65,NA,5,120.65,4,TORQ THRUST GRAY W/ MACH LIP,20200,15 5x120.65,15 5x120.65 4,15 x 6,"(1,10)"
43,1001,WDAZ01,DIRECT,8,7.61138E+11,Vintage,VN105 GRAY MACH-LP,15,7,5x120.65,NA,5,120.65,-6,TORQ THRUST GRAY W/ MACH LIP,78459,15 5x120.65,15 5x120.65 -6,15 x 7,"(-9,0)"
44,1001,WDAZ01,DIRECT,2,8.85463E+11,Vintage,VN215 M-GRY MACH-LP,17,7,5x120.65,NA,5,120.65,0,MAG GRAY W/ MACHINED LIP,NA,17 5x120.65,17 5x120.65 0,17 x 7,"(-9,0)"
45,1001,WDAZ01,DIRECT,2,8.85463E+11,Vintage,VN215 M-GRY MACH-LP,17,8,5x120.65,NA,5,120.65,-11,MAG GRAY W/ MACHINED LIP,NA,17 5x120.65,17 5x120.65 -11,17 x 8,"(-19,-10)"
46,1001,WDAZ01,DIRECT,2,8.85463E+11,Vintage,VN215 M-GRY MACH-LP,17,8,5x120.65,NA,5,120.65,8,MAG GRAY W/ MACHINED LIP,NA,17 5x120.65,17 5x120.65 8,17 x 8,"(1,10)"
47,1001,WDAZ01,DIRECT,2,8.85463E+11,Vintage,VN215 M-GRY MACH-LP,17,9.5,5x120.65,NA,5,120.65,8,MAG GRAY W/ MACHINED LIP,NA,17 5x120.65,17 5x120.65 8,17 x 9.5,"(1,10)"
48,1001,WDAZ01,DIRECT,2,8.43962E+11,Vintage,VN515 POLISHED,17,7,5x114.30,NA,5,114.3,0,POLISHED,78216,17 5x114.30,17 5x114.30 0,17 x 7,"(-9,0)"
49,1001,WDAZ01,DIRECT,2,8.43962E+11,Vintage,VN515 POLISHED,17,9.5,5x114.30,NA,5,114.3,28,POLISHED,NA,17 5x114.30,17 5x114.30 28,17 x 9.5,"(20,29)"
50,1001,WDAZ01,DIRECT,4,8.85463E+11,Vintage,VN515 POLISHED,18,10,5x114.30,NA,5,114.3,6,POLISHED,NA,18 5x114.30,18 5x114.30 6,18 x 10,"(1,10)"
51,1001,WDAZ01,DIRECT,4,7.61138E+11,Vintage,VN605 CHROME,15,6,5x114.30,NA,5,114.3,4,CHROME,NA,15 5x114.30,15 5x114.30 4,15 x 6,"(1,10)"
52,1001,WDAZ01,DIRECT,4,8.85463E+11,Vintage,VN815 PVD,18,7,5x114.30,NA,5,114.3,6,PVD,NA,18 5x114.30,18 5x114.30 6,18 x 7,"(1,10)"
53,1001,WDAZ01,DIRECT,4,8.85463E+11,XD Powersports,XS228 S-BLK,15,7,4x156.00,NA,4,156,35,SATIN BLACK,NA,15 4x156.00,15 4x156.00 35,15 x 7,"(30,39)"
54,1001,WDAZ01,DIRECT,4,8.85463E+11,XD Series,XD131 Satin Black,17,9,8x170.00,NA,8,170,-12,SATIN BLACK,NA,17 8x170.00,17 8x170.00 -12,17 x 9,"(-19,-10)"
55,1001,WDAZ01,DIRECT,1,8.43962E+11,XD Series,XD775 M-BLK,20,8.5,8x165.10,NA,8,165.1,10,MATTE BLACK,62388,20 8x165.10,20 8x165.10 10,20 x 8.5,"(1,10)"
56,1001,WDAZ01,DIRECT,1,8.43962E+11,XD Series,XD775 M-BLK,18,9,8x165.10,NA,8,165.1,0,MATTE BLACK,70902,18 8x165.10,18 8x165.10 0,18 x 9,"(-9,0)"
57,1001,WDAZ01,DIRECT,4,8.43962E+11,XD Series,XD778 M-BLK,22,9.5,5x139.70,5x150.00,5,139.7,18,MATTE BLACK,NA,22 5x139.70,22 5x139.70 18,22 x 9.5,"(11,19)"
58,1001,WDAZ01,DIRECT,4,8.43962E+11,XD Series,XD778 M-BLK,20,9,8x165.10,NA,8,165.1,18,MATTE BLACK,NA,20 8x165.10,20 8x165.10 18,20 x 9,"(11,19)"
59,1001,WDAZ01,DIRECT,4,8.85463E+11,XD Series,XD779 GLOSS BLACK MACHINED FACE,20,9,8x165.10,NA,8,165.1,-12,GLOSS BLACK MACHINED,NA,20 8x165.10,20 8x165.10 -12,20 x 9,"(-19,-10)"
60,1001,WDAZ01,DIRECT,4,8.85463E+11,XD Series,XD779 GLOSS BLACK MACHINED FACE,18,9,8x165.10,NA,8,165.1,18,GLOSS BLACK MACHINED,NA,18 8x165.10,18 8x165.10 18,18 x 9,"(11,19)"
61,1001,WDAZ01,DIRECT,4,8.43962E+11,XD Series,HOSS GLOSS BLACK,17,9,8x165.10,NA,8,165.1,-12,GLOSS BLACK W/ CLEAR COAT,62336,17 8x165.10,17 8x165.10 -12,17 x 9,"(-19,-10)"
62,1001,WDAZ01,DIRECT,4,8.43962E+11,XD Series,HOSS GLOSS BLACK,18,9,5x150.00,NA,5,150,30,GLOSS BLACK W/ CLEAR COAT,62339,18 5x150.00,18 5x150.00 30,18 x 9,"(20,29)"
63,1001,WDAZ01,DIRECT,3,8.43962E+11,XD Series,XD795 G-BLK MACH,16,8,6x139.70,NA,6,139.7,0,GLOSS BLACK W/ MACHINED FACE,20254,16 6x139.70,16 6x139.70 0,16 x 8,"(-9,0)"
64,1001,WDAZ01,DIRECT,4,8.43962E+11,XD Series,XD798 M-BLK,17,9,6x114.30,NA,6,114.3,18,MATTE BLACK,20289,17 6x114.30,17 6x114.30 18,17 x 9,"(11,19)"
65,1001,WDAZ01,DIRECT,4,8.85463E+11,XD Series,MISFIT MATTE BLACK,20,9,8x165.10,NA,8,165.1,0,MATTE BLACK,78550,20 8x165.10,20 8x165.10 0,20 x 9,"(-9,0)"
66,1001,WDAZ01,DIRECT,1,8.85463E+11,XD Series,MISFIT MATTE BLACK,17,9,6x135.00,NA,6,135,0,MATTE BLACK,NA,17 6x135.00,17 6x135.00 0,17 x 9,"(-9,0)"
67,1001,WDAZ01,DIRECT,1,8.85463E+11,XD Series,XD811 S-BLK W/ ACC,20,9,6x135.00,6x139.70,6,135,-12,SATIN BLACK W ACCENTS,NA,20 6x135.00,20 6x135.00 -12,20 x 9,"(-19,-10)"
68,1001,WDAZ01,DIRECT,5,8.85463E+11,XD Series,XD818 S-BLK MILL SP,18,9,5x127.00,NA,5,127,18,SATIN BLACK MILLED,NA,18 5x127.00,18 5x127.00 18,18 x 9,"(11,19)"
69,1001,WDAZ01,DIRECT,4,8.85463E+11,XD Series,XD820 S-BLK MACH,20,9,8x170.00,NA,8,170,0,SATIN BLACK W/ MACHINED FACE,NA,20 8x170.00,20 8x170.00 0,20 x 9,"(-9,0)"
70,1001,WDAZ01,DIRECT,5,8.85463E+11,XD Series,XD822 M-BLK,17,9,5x127.00,NA,5,127,-12,MATTE BLACK,NA,17 5x127.00,17 5x127.00 -12,17 x 9,"(-19,-10)"
71,1001,WDAZ01,DIRECT,1,8.85463E+11,XD Series,XD827 M-BLK MACH,22,12,5x127.00,5x139.70,5,127,-44,MATTE BLACK MACHINED,NA,22 5x127.00,22 5x127.00 -44,22 x 12,"(-50,-40)"
72,1001,WDAZ01,DIRECT,4,8.85463E+11,XD Series,XD827 M-BLK MACH,22,12,5x139.70,5x150.00,5,139.7,-44,MATTE BLACK MACHINED,NA,22 5x139.70,22 5x139.70 -44,22 x 12,"(-50,-40)"
73,1001,WDAZ01,DIRECT,4,8.85463E+11,XD Series,XD827 M-BLK,18,9,5x127.00,5x135.00,5,127,0,MATTE BLACK,NA,18 5x127.00,18 5x127.00 0,18 x 9,"(-9,0)"
74,1002,AZF 01,Arizona,1,7.61138E+11,American Racing,OUTLAW II MACHINED W/CC,14,6,5x114.30,NA,5,114.3,6,MACHINED W/ CLEAR COAT,78200,14 5x114.30,14 5x114.30 6,14 x 6,"(1,10)"
75,1002,AZF 01,Arizona,4,7.61138E+11,American Racing,BAJA POLISHED,15,10,5x127.00,NA,5,127,-43,POLISHED,78728,15 5x127.00,15 5x127.00 -43,15 x 10,"(-50,-40)"
76,1002,AZF 01,Arizona,6,7.61138E+11,American Racing,BAJA POLISHED,15,10,6x139.70,NA,6,139.7,-43,POLISHED,78616,15 6x139.70,15 6x139.70 -43,15 x 10,"(-50,-40)"
77,1002,AZF 01,Arizona,4,8.85463E+11,American Racing,AR9017 SATIN BLACK,18,9,8x165.10,NA,8,165.1,20,SATIN BLACK,NA,18 8x165.10,18 8x165.10 20,18 x 9,"(11,19)"
78,1002,AZF 01,Arizona,4,8.85463E+11,ATX,AX199 S-BLK,16,8,6x139.70,NA,6,139.7,0,SATIN BLACK,NA,16 6x139.70,16 6x139.70 0,16 x 8,"(-9,0)"
79,1002,AZF 01,Arizona,4,8.85463E+11,ATX,AX202 CI-BLK,16,8,5x114.30,NA,5,114.3,0,CAST IRON BLACK,NA,16 5x114.30,16 5x114.30 0,16 x 8,"(-9,0)"
80,1002,AZF 01,Arizona,4,8.85463E+11,ATX,AX202 CI-BLK,17,9,5x114.30,NA,5,114.3,-12,CAST IRON BLACK,NA,17 5x114.30,17 5x114.30 -12,17 x 9,"(-19,-10)"
81,1002,AZF 01,Arizona,-4,8.85463E+11,ATX,AX202 CI-BLK,17,9,5x114.30,NA,5,114.3,-12,CAST IRON BLACK,NA,17 5x114.30,17 5x114.30 -12,17 x 9,"(-19,-10)"
82,1002,AZF 01,Arizona,4,8.43962E+11,Helo,HE835 GLOSS BLACK MACHINED,20,9,8x165.10,NA,8,165.1,18,GLOSS BLACK MACHINED,NA,20 8x165.10,20 8x165.10 18,20 x 9,"(11,19)"
83,1002,AZF 01,Arizona,5,8.85463E+11,Helo,HE878 S-BLK,17,9,5x127.00,NA,5,127,-12,SATIN BLACK,20048,17 5x127.00,17 5x127.00 -12,17 x 9,"(-19,-10)"
84,1002,AZF 01,Arizona,4,8.85463E+11,Helo,HE878 S-BLK,18,9,6x139.70,NA,6,139.7,-12,SATIN BLACK,NA,18 6x139.70,18 6x139.70 -12,18 x 9,"(-19,-10)"
85,1002,AZF 01,Arizona,1,8.85463E+11,Helo,HE890 G-BLK MACH,22,8.5,5x114.30,NA,5,114.3,40,GLOSS BLACK W/ MACHINED FACE,NA,22 5x114.30,22 5x114.30 40,22 x 8.5,"(30,39)"
86,1002,AZF 01,Arizona,-1,8.85463E+11,Helo,HE890 G-BLK MACH,22,8.5,5x114.30,NA,5,114.3,40,GLOSS BLACK W/ MACHINED FACE,NA,22 5x114.30,22 5x114.30 40,22 x 8.5,"(30,39)"
87,1002,AZF 01,Arizona,4,8.43962E+11,KMC,KM651 G-BLK,22,9.5,6x135.00,6x139.70,6,135,38,GLOSS BLACK W/ CLEAR COAT,NA,22 6x135.00,22 6x135.00 38,22 x 9.5,"(30,39)"
88,1002,AZF 01,Arizona,4,8.43962E+11,KMC,KM651 G-BLK,20,8.5,5x114.30,5x127.00,5,114.3,38,GLOSS BLACK W/ CLEAR COAT,20063,20 5x114.30,20 5x114.30 38,20 x 8.5,"(30,39)"
89,1002,AZF 01,Arizona,4,8.85463E+11,KMC,KM677 G-BLK,22,9.5,6x135.00,6x139.70,6,135,35,GLOSS BLACK,NA,22 6x135.00,22 6x135.00 35,22 x 9.5,"(30,39)"
90,1002,AZF 01,Arizona,4,8.85463E+11,KMC,KM685 SLV MACH,20,8.5,5x114.30,NA,5,114.3,28,SILVER MACHINED,NA,20 5x114.30,20 5x114.30 28,20 x 8.5,"(20,29)"
91,1002,AZF 01,Arizona,1,8.43962E+11,Motegi,MR118 M-BLK,17,8,5x114.30,NA,5,114.3,45,MATTE BLACK,NA,17 5x114.30,17 5x114.30 45,17 x 8,"(40,49)"
92,1002,AZF 01,Arizona,4,8.85463E+11,Moto Metal,MO962 CHROME,20,9,6x139.70,NA,6,139.7,0,CHROME,20127,20 6x139.70,20 6x139.70 0,20 x 9,"(-9,0)"
93,1002,AZF 01,Arizona,4,8.85463E+11,Moto Metal,MO970 G-BLK MACH,18,9,5x139.70,5x150.00,5,139.7,18,GLOSS BLACK W/ MACHINED FACE,20164,18 5x139.70,18 5x139.70 18,18 x 9,"(11,19)"
94,1002,AZF 01,Arizona,4,8.85463E+11,Moto Metal,MO970 S-BLK MILL,20,9,6x135.00,6x139.70,6,135,0,SATIN BLACK MILLED,NA,20 6x135.00,20 6x135.00 0,20 x 9,"(-9,0)"
95,1002,AZF 01,Arizona,4,8.43962E+11,XD Series,XD798 M-BLK MACH,20,9,6x135.00,NA,6,135,18,MATTE BLACK MACHINED,NA,20 6x135.00,20 6x135.00 18,20 x 9,"(11,19)"
96,1002,AZF 01,Arizona,4,8.43962E+11,XD Series,XD798 M-BLK,18,9,6x139.70,NA,6,139.7,18,MATTE BLACK,78541,18 6x139.70,18 6x139.70 18,18 x 9,"(11,19)"
97,1002,AZF 01,Arizona,5,8.85463E+11,XD Series,XD798 M-BLK,18,9,8x180.00,NA,8,180,18,MATTE BLACK,20294,18 8x180.00,18 8x180.00 18,18 x 9,"(11,19)"
98,1002,AZF 01,Arizona,4,8.85463E+11,XD Series,XD822 M-BLK,17,9,blank,NA,0,0,18,BLK,NA,17 blank,17 blank 18,17 x 9,"(11,19)"
99,1003,AZP 01,Arizona,4,8.06455E+11,MSA Wheels,M12 DIESEL MACHINED GLOSS BLACK,14,7,4x110.00,NA,4,110,10,GLOSS BLACK,46823,14 4x110.00,14 4x110.00 10,14 x 7,"(1,10)"
100,1003,AZP 01,Arizona,4,8.06455E+11,MSA Wheels,M12 DIESEL MACHINED GLOSS BLACK,14,7,4x156.00,NA,4,156,10,GLOSS BLACK,46824,14 4x156.00,14 4x156.00 10,14 x 7,"(1,10)"
101,1003,AZP 01,Arizona,4,8.85463E+11,XD Series,XD825 G-BLK MILL,20,9,8x180.00,NA,8,180,18,GLOSS BLACK MILLED,NA,20 8x180.00,20 8x180.00 18,20 x 9,"(11,19)"
102,1005,AZP 03,Arizona,4,7.61138E+11,American Racing,OUTLAW II MACHINED W/CC,16,8,6x139.70,NA,6,139.7,0,MACHINED W/ CLEAR COAT,78190,16 6x139.70,16 6x139.70 0,16 x 8,"(-9,0)"
103,1005,AZP 03,Arizona,3,8.85463E+11,American Racing,AR172 S-BLK,15,7,5x127.00,NA,5,127,-6,SATIN BLACK,NA,15 5x127.00,15 5x127.00 -6,15 x 7,"(-9,0)"
104,1005,AZP 03,Arizona,4,8.85463E+11,American Racing,AR904 S-BLK,16,7,5x112.00,NA,5,112,40,SATIN BLACK,NA,16 5x112.00,16 5x112.00 40,16 x 7,"(30,39)"
105,1005,AZP 03,Arizona,3,8.85463E+11,Helo,HE878 S-BLK,18,9,6x135.00,NA,6,135,-12,SATIN BLACK,NA,18 6x135.00,18 6x135.00 -12,18 x 9,"(-19,-10)"
106,1005,AZP 03,Arizona,4,8.85463E+11,KMC,KM693 GRAY W BLACK,18,8,5x114.30,NA,5,114.3,40,PEARL GRAY W GLOSS BLACK FACE,NA,18 5x114.30,18 5x114.30 40,18 x 8,"(30,39)"
107,1005,AZP 03,Arizona,4,8.85463E+11,KMC,KM775 M-BLK,20,8,blank,NA,0,0,42,BLK,NA,20 blank,20 blank 42,20 x 8,"(40,49)"
108,1005,AZP 03,Arizona,4,8.43962E+11,Moto Metal,MO951 GLOSS BLACK MACHINED,18,9,6x139.70,NA,6,139.7,-12,GLOSS BLACK MACHINED,NA,18 6x139.70,18 6x139.70 -12,18 x 9,"(-19,-10)"
109,1005,AZP 03,Arizona,4,8.85463E+11,Moto Metal,MO970 S-BLK MILL,20,9,6x135.00,6x139.70,6,135,18,SATIN BLACK MILLED,NA,20 6x135.00,20 6x135.00 18,20 x 9,"(11,19)"
110,1005,AZP 03,Arizona,4,8.85463E+11,XD Series,XD127 S-BLK,18,9,6x139.70,NA,6,139.7,-12,SATIN BLACK,NA,18 6x139.70,18 6x139.70 -12,18 x 9,"(-19,-10)"
111,1005,AZP 03,Arizona,4,8.43962E+11,XD Series,XD798 M-BLK MACH,17,9,6x114.30,NA,6,114.3,18,MATTE BLACK MACHINED,NA,17 6x114.30,17 6x114.30 18,17 x 9,"(11,19)"
112,1005,AZP 03,Arizona,5,8.43962E+11,XD Series,XD798 M-BLK,17,9,6x139.70,NA,6,139.7,18,MATTE BLACK,78534,17 6x139.70,17 6x139.70 18,17 x 9,"(11,19)"
113,1005,AZP 03,Arizona,4,8.43962E+11,XD Series,XD818 S-BLK MILL LP,18,8,5x127.00,NA,5,127,35,SATIN BLACK,NA,18 5x127.00,18 5x127.00 35,18 x 8,"(30,39)"
114,1007,AZP 05,Arizona,2,7.61138E+11,American Racing,AR061 MACH,15,7,5x120.65,NA,5,120.65,-6,MACHINED W/ CLEAR COAT,78194,15 5x120.65,15 5x120.65 -6,15 x 7,"(-9,0)"
115,1007,AZP 05,Arizona,4,7.61138E+11,American Racing,OUTLAW II MACHINED W/CC,14,7,4x114.30,NA,4,114.3,0,MACHINED W/ CLEAR COAT,78201,14 4x114.30,14 4x114.30 0,14 x 7,"(-9,0)"
116,1007,AZP 05,Arizona,4,8.85463E+11,American Racing,OUTLAW II MACHINED W/CC,17,8,8x165.10,NA,8,165.1,0,MACHINED W/ CLEAR COAT,78719,17 8x165.10,17 8x165.10 0,17 x 8,"(-9,0)"
117,1007,AZP 05,Arizona,11,8.85463E+11,American Racing,AR172 S-BLK,15,8,5x114.30,NA,5,114.3,-19,SATIN BLACK,NA,15 5x114.30,15 5x114.30 -19,15 x 8,"(-19,-10)"
118,1007,AZP 05,Arizona,5,8.85463E+11,American Racing,AR172 S-BLK,15,8,5x139.70,NA,5,139.7,-19,SATIN BLACK,NA,15 5x139.70,15 5x139.70 -19,15 x 8,"(-19,-10)"
119,1007,AZP 05,Arizona,4,8.85463E+11,American Racing,AR172 S-BLK,17,8,8x165.10,NA,8,165.1,0,SATIN BLACK,NA,17 8x165.10,17 8x165.10 0,17 x 8,"(-9,0)"
120,1007,AZP 05,Arizona,5,8.85463E+11,American Racing,AR969 S-BLK,17,9,5x127.00,NA,5,127,-12,SATIN BLACK W/ SATIN BLACK RING,NA,17 5x127.00,17 5x127.00 -12,17 x 9,"(-19,-10)"
121,1007,AZP 05,Arizona,4,8.43962E+11,KMC,KM651 G-BLK,24,9.5,6x135.00,6x139.70,6,135,25,GLOSS BLACK W/ CLEAR COAT,NA,24 6x135.00,24 6x135.00 25,24 x 9.5,"(20,29)"
122,1007,AZP 05,Arizona,4,8.85463E+11,KMC,KM691 S-BLK,18,8,5x114.30,NA,5,114.3,35,SATIN BLACK,NA,18 5x114.30,18 5x114.30 35,18 x 8,"(30,39)"
